Pclass;Age;Fare;Embarked;FamilySize;GenderClass;Survived
P3;22;7,25;S;2;male;0
P1;38;71,2833;C;2;female;1
P3;26;7,925;S;1;female;1
P1;35;53,1;S;2;female;1
P3;35;8,05;S;1;male;0
P3;28;8,4583;Q;1;male;0
P1;54;51,8625;S;1;male;0
P3;2;21,075;S;5;child;0
P3;27;11,1333;S;3;female;1
P2;14;30,0708;C;2;child;1
P3;4;16,7;S;3;child;1
P1;58;26,55;S;1;female;1
P3;20;8,05;S;1;male;0
P3;39;31,275;S;7;male;0
P3;14;7,8542;S;1;child;0
P2;55;16;S;1;female;1
P3;2;29,125;Q;6;child;0
P2;28;13;S;1;male;1
P3;31;18;S;2;female;0
P3;28;7,225;C;1;female;1
P2;35;26;S;1;male;0
P2;34;13;S;1;male;1
P3;15;8,0292;Q;1;female;1
P1;28;35,5;S;1;male;1
P3;8;21,075;S;5;child;0
P3;38;31,3875;S;7;female;1
P3;28;7,225;C;1;male;0
P1;19;263;S;6;male;0
P3;28;7,8792;Q;1;female;1
P3;28;7,8958;S;1;male;0
P1;40;27,7208;C;1;male;0
P1;28;146,5208;C;2;female;1
P3;28;7,75;Q;1;female;1
P2;66;10,5;S;1;male;0
P1;28;82,1708;C;2;male;0
P1;42;52;S;2;male;0
P3;28;7,2292;C;1;male;1
P3;21;8,05;S;1;male;0
P3;18;18;S;3;female;0
P3;14;11,2417;C;2;child;1
P3;40;9,475;S;2;female;0
P2;27;21;S;2;female;0
P3;28;7,8958;C;1;male;0
P2;3;41,5792;C;4;child;1
P3;19;7,8792;Q;1;female;1
P3;28;8,05;S;1;male;0
P3;28;15,5;Q;2;male;0
P3;28;7,75;Q;1;female;1
P3;28;21,6792;C;3;male;0
P3;18;17,8;S;2;female;0
P3;7;39,6875;S;6;child;0
P3;21;7,8;S;1;male;0
P1;49;76,7292;C;2;female;1
P2;29;26;S;2;female;1
P1;65;61,9792;C;2;male;0
P1;28;35,5;S;1;male;1
P2;21;10,5;S;1;female;1
P3;28,5;7,2292;C;1;male;0
P2;5;27,75;S;4;child;1
P3;11;46,9;S;8;child;0
P3;22;7,2292;C;1;male;0
P1;38;80;S;1;female;1
P1;45;83,475;S;2;male;0
P3;4;27,9;S;6;child;0
P1;28;27,7208;C;1;male;0
P3;28;15,2458;C;3;male;1
P2;29;10,5;S;1;female;1
P3;19;8,1583;S;1;male;0
P3;17;7,925;S;7;female;1
P3;26;8,6625;S;3;male;0
P2;32;10,5;S;1;male;0
P3;16;46,9;S;8;female;0
P2;21;73,5;S;1;male;0
P3;26;14,4542;C;2;male;0
P3;32;56,4958;S;1;male;1
P3;25;7,65;S;1;male;0
P3;28;7,8958;S;1;male;0
P3;28;8,05;S;1;male;0
P2;0,83;29;S;3;child;1
P3;30;12,475;S;1;female;1
P3;22;9;S;1;male;0
P3;29;9,5;S;1;male;1
P3;28;7,7875;Q;1;female;1
P1;28;47,1;S;1;male;0
P2;17;10,5;S;1;female;1
P3;33;15,85;S;4;female;1
P3;16;34,375;S;5;male;0
P3;28;8,05;S;1;male;0
P1;23;263;S;6;female;1
P3;24;8,05;S;1;male;0
P3;29;8,05;S;1;male;0
P3;20;7,8542;S;1;male;0
P1;46;61,175;S;2;male;0
P3;26;20,575;S;4;male;0
P3;59;7,25;S;1;male;0
P3;28;8,05;S;1;male;0
P1;71;34,6542;C;1;male;0
P1;23;63,3583;C;2;male;1
P2;34;23;S;2;female;1
P2;34;26;S;2;male;0
P3;28;7,8958;S;1;female;0
P3;28;7,8958;S;1;male;0
P1;21;77,2875;S;2;male;0
P3;33;8,6542;S;1;male;0
P3;37;7,925;S;3;male;0
P3;28;7,8958;S;1;male;0
P3;21;7,65;S;1;female;1
P3;28;7,775;S;1;male;1
P3;38;7,8958;S;1;male;0
P3;28;24,15;Q;2;female;1
P1;47;52;S;1;male;0
P3;14,5;14,4542;C;2;child;0
P3;22;8,05;S;1;male;0
P3;20;9,825;S;2;female;0
P3;17;14,4583;C;1;female;0
P3;21;7,925;S;1;male;0
P3;70,5;7,75;Q;1;male;0
P2;29;21;S;2;male;0
P1;24;247,5208;C;2;male;0
P3;2;31,275;S;7;child;0
P2;21;73,5;S;3;male;0
P3;28;8,05;S;1;male;0
P2;32,5;30,0708;C;2;male;0
P2;32,5;13;S;1;female;1
P1;54;77,2875;S;2;male;0
P3;12;11,2417;C;2;child;1
P3;28;7,75;Q;1;male;0
P3;24;7,1417;S;1;male;1
P3;28;22,3583;C;3;female;1
P3;45;6,975;S;1;male;0
P3;33;7,8958;C;1;male;0
P3;20;7,05;S;1;male;0
P3;47;14,5;S;2;female;0
P2;29;26;S;2;female;1
P2;25;13;S;1;male;0
P2;23;15,0458;C;1;male;0
P1;19;26,2833;S;3;female;1
P1;37;53,1;S;2;male;0
P3;16;9,2167;S;1;male;0
P1;24;79,2;C;1;male;0
P3;28;15,2458;C;3;female;0
P3;22;7,75;S;1;female;1
P3;24;15,85;S;2;female;1
P3;19;6,75;Q;1;male;0
P2;18;11,5;S;1;male;0
P2;19;36,75;S;3;male;0
P3;27;7,7958;S;1;male;1
P3;9;34,375;S;5;child;0
P2;36,5;26;S;3;male;0
P2;42;13;S;1;male;0
P2;51;12,525;S;1;male;0
P1;22;66,6;S;2;female;1
P3;55,5;8,05;S;1;male;0
P3;40,5;14,5;S;3;male;0
P3;28;7,3125;S;1;male;0
P1;51;61,3792;C;2;male;0
P3;16;7,7333;Q;1;female;1
P3;30;8,05;S;1;male;0
P3;28;8,6625;S;1;male;0
P3;28;69,55;S;11;male;0
P3;44;16,1;S;2;male;0
P2;40;15,75;S;1;female;1
P3;26;7,775;S;1;male;0
P3;17;8,6625;S;1;male;0
P3;1;39,6875;S;6;child;0
P3;9;20,525;S;3;child;1
P1;28;55;S;2;female;1
P3;45;27,9;S;6;female;0
P1;28;25,925;S;1;male;0
P3;28;56,4958;S;1;male;0
P1;61;33,5;S;1;male;0
P3;4;29,125;Q;6;child;0
P3;1;11,1333;S;3;child;1
P3;21;7,925;S;1;male;0
P1;56;30,6958;C;1;male;0
P3;18;7,8542;S;3;male;0
P3;28;25,4667;S;5;male;0
P1;50;28,7125;C;1;female;0
P2;30;13;S;1;male;0
P3;36;14,4542;S;1;male;0
P3;28;69,55;S;11;female;0
P2;28;15,05;C;1;male;0
P3;9;31,3875;S;7;child;0
P2;1;39;S;4;child;1
P3;4;22,025;S;3;child;1
P1;28;50;S;1;male;0
P3;28;15,5;Q;2;female;1
P1;45;26,55;S;1;male;1
P3;40;15,5;Q;3;male;0
P3;36;7,8958;S;1;male;0
P2;32;13;S;1;female;1
P2;19;13;S;1;male;0
P3;19;7,8542;S;2;female;1
P2;3;26;S;3;child;1
P1;44;27,7208;C;1;female;1
P1;58;146,5208;C;1;female;1
P3;28;7,75;Q;1;male;0
P3;42;8,4042;S;2;male;0
P3;28;7,75;Q;1;female;1
P2;24;13;S;1;female;0
P3;28;9,5;S;1;male;0
P3;28;69,55;S;11;male;0
P3;34;6,4958;S;1;male;0
P3;45,5;7,225;C;1;male;0
P3;18;8,05;S;1;male;1
P3;2;10,4625;S;2;child;0
P3;32;15,85;S;2;male;0
P3;26;18,7875;C;1;male;1
P3;16;7,75;Q;1;female;1
P1;40;31;C;1;male;1
P3;24;7,05;S;1;male;0
P2;35;21;S;1;female;1
P3;22;7,25;S;1;male;0
P2;30;13;S;1;male;0
P3;28;7,75;Q;2;male;0
P1;31;113,275;C;2;female;1
P3;27;7,925;S;1;female;1
P2;42;27;S;2;male;0
P1;32;76,2917;C;1;female;1
P2;30;10,5;S;1;male;0
P3;16;8,05;S;1;male;1
P2;27;13;S;1;male;0
P3;51;8,05;S;1;male;0
P3;28;7,8958;S;1;male;0
P1;38;90;S;2;male;1
P3;22;9,35;S;1;male;0
P2;19;10,5;S;1;male;1
P3;20,5;7,25;S;1;male;0
P2;18;13;S;1;male;0
P3;28;25,4667;S;5;female;0
P1;35;83,475;S;2;female;1
P3;29;7,775;S;1;male;0
P2;59;13,5;S;1;male;0
P3;5;31,3875;S;7;child;1
P2;24;10,5;S;1;male;0
P3;28;7,55;S;1;female;0
P2;44;26;S;2;male;0
P2;8;26,25;S;3;child;1
P2;19;10,5;S;1;male;0
P2;33;12,275;S;1;male;0
P3;28;14,4542;C;2;female;0
P3;28;15,5;Q;2;female;1
P2;29;10,5;S;1;male;0
P3;22;7,125;S;1;male;0
P3;30;7,225;C;1;male;0
P1;44;90;Q;3;male;0
P3;25;7,775;S;1;female;0
P2;24;14,5;S;3;female;1
P1;37;52,5542;S;3;male;1
P2;54;26;S;2;male;0
P3;28;7,25;S;1;male;0
P3;29;10,4625;S;3;female;0
P1;62;26,55;S;1;male;0
P3;30;16,1;S;2;male;0
P3;41;20,2125;S;3;female;0
P3;29;15,2458;C;3;female;1
P1;28;79,2;C;1;female;1
P1;30;86,5;S;1;female;1
P1;35;512,3292;C;1;female;1
P2;50;26;S;2;female;1
P3;28;7,75;Q;1;male;0
P3;3;31,3875;S;7;child;1
P1;52;79,65;S;3;male;0
P1;40;14,4542;S;1;male;0
P3;28;7,75;Q;1;female;0
P2;36;10,5;S;1;male;0
P3;16;39,6875;S;6;male;0
P3;25;7,775;S;2;male;1
P1;58;153,4625;S;2;female;1
P1;35;135,6333;S;1;female;1
P1;28;31;S;1;male;0
P3;25;14,4542;S;1;male;1
P2;41;19,5;S;2;female;1
P1;37;29,7;C;2;male;0
P3;28;7,75;Q;1;female;1
P1;63;77,9583;S;2;female;1
P3;45;7,75;S;1;female;0
P2;28;14,4542;S;1;male;0
P3;7;29,125;Q;6;child;0
P3;35;20,25;S;3;female;1
P3;65;7,75;Q;1;male;0
P3;28;7,8542;S;1;male;0
P3;16;9,5;S;1;male;0
P3;19;8,05;S;1;male;1
P1;28;26;S;1;male;0
P3;33;8,6625;C;1;male;0
P3;30;9,5;S;1;male;1
P3;22;7,8958;S;1;male;0
P2;42;13;S;1;male;1
P3;22;7,75;Q;1;female;1
P1;26;78,85;S;1;female;1
P1;19;91,0792;C;2;female;1
P2;36;12,875;C;1;male;0
P3;24;8,85;S;1;female;0
P3;24;7,8958;S;1;male;0
P1;28;27,7208;C;1;male;0
P3;23,5;7,2292;C;1;male;0
P1;2;151,55;S;4;child;0
P1;28;30,5;S;1;male;1
P1;50;247,5208;C;2;female;1
P3;28;7,75;Q;1;female;1
P3;28;23,25;Q;3;male;1
P3;19;14,4542;S;1;male;0
P2;28;12,35;Q;1;female;1
P3;28;8,05;S;1;male;0
P1;0,92;151,55;S;4;child;1
P1;28;110,8833;C;1;female;1
P1;17;108,9;C;2;female;1
P2;30;24;C;2;male;0
P1;30;56,9292;C;1;female;1
P1;24;83,1583;C;1;female;1
P1;18;262,375;C;5;female;1
P2;26;26;S;3;female;0
P3;28;7,8958;S;1;male;0
P2;43;26,25;S;3;male;0
P3;26;7,8542;S;1;female;1
P2;24;26;S;2;female;1
P2;54;14;S;1;male;0
P1;31;164,8667;S;3;female;1
P1;40;134,5;C;3;female;1
P3;22;7,25;S;1;male;0
P3;27;7,8958;S;1;male;0
P2;30;12,35;Q;1;female;1
P2;22;29;S;3;female;1
P3;28;69,55;S;11;male;0
P1;36;135,6333;C;1;female;1
P3;61;6,2375;S;1;male;0
P2;36;13;S;1;female;1
P3;31;20,525;S;3;female;1
P1;16;57,9792;C;2;female;1
P3;28;23,25;Q;3;female;1
P1;45,5;28,5;S;1;male;0
P1;38;153,4625;S;2;male;0
P3;16;18;S;3;male;0
P1;28;133,65;S;2;female;1
P3;28;7,8958;S;1;male;0
P1;29;66,6;S;2;male;0
P1;41;134,5;C;1;female;1
P3;45;8,05;S;1;male;1
P1;45;35,5;S;1;male;0
P2;2;26;S;3;child;1
P1;24;263;S;6;female;1
P2;28;13;S;1;male;0
P2;25;13;S;1;male;0
P2;36;13;S;1;male;0
P2;24;13;S;1;female;1
P2;40;13;S;1;female;1
P3;28;16,1;S;2;female;1
P3;3;15,9;S;3;child;1
P3;42;8,6625;S;1;male;0
P3;23;9,225;S;1;male;0
P1;28;35;S;1;male;0
P3;15;7,2292;C;3;male;0
P3;25;17,8;S;2;male;0
P3;28;7,225;C;1;male;0
P3;28;9,5;S;1;male;0
P1;22;55;S;2;female;1
P2;38;13;S;1;female;0
P3;28;7,8792;Q;1;female;1
P3;28;7,8792;Q;1;female;1
P3;40;27,9;S;6;male;0
P2;29;27,7208;C;2;male;0
P3;45;14,4542;C;2;female;0
P3;35;7,05;S;1;male;0
P3;28;15,5;Q;2;male;0
P3;30;7,25;S;1;male;0
P1;60;75,25;C;2;female;1
P3;28;7,2292;C;1;female;1
P3;28;7,75;Q;1;female;1
P1;24;69,3;C;1;female;1
P1;25;55,4417;C;2;male;1
P3;18;6,4958;S;2;male;0
P3;19;8,05;S;1;male;0
P1;22;135,6333;C;1;male;0
P3;3;21,075;S;5;child;0
P1;28;82,1708;C;2;female;1
P3;22;7,25;S;1;female;1
P1;27;211,5;C;3;male;0
P3;20;4,0125;C;1;male;0
P3;19;7,775;S;1;male;0
P1;42;227,525;C;1;female;1
P3;1;15,7417;C;3;child;1
P3;32;7,925;S;1;male;0
P1;35;52;S;2;female;1
P3;28;7,8958;S;1;male;0
P2;18;73,5;S;1;male;0
P3;1;46,9;S;8;child;0
P2;36;13;S;1;female;1
P3;28;7,7292;Q;1;male;0
P2;17;12;C;1;female;1
P1;36;120;S;4;male;1
P3;21;7,7958;S;1;male;1
P3;28;7,925;S;3;male;0
P1;23;113,275;C;2;female;1
P3;24;16,7;S;3;female;1
P3;22;7,7958;S;1;male;0
P3;31;7,8542;S;1;female;0
P2;46;26;S;1;male;0
P2;23;10,5;S;1;male;0
P2;28;12,65;S;1;female;1
P3;39;7,925;S;1;male;1
P3;26;8,05;S;1;male;0
P3;21;9,825;S;2;female;0
P3;28;15,85;S;2;male;0
P3;20;8,6625;S;1;female;0
P2;34;21;S;2;male;0
P3;51;7,75;S;1;male;0
P2;3;18,75;S;3;child;1
P3;21;7,775;S;1;male;0
P3;28;25,4667;S;5;female;0
P3;28;7,8958;S;1;male;0
P3;28;6,8583;Q;1;male;0
P1;33;90;Q;2;female;1
P2;28;14,4542;S;1;male;0
P3;44;7,925;S;1;male;1
P3;28;8,05;S;1;female;0
P2;34;32,5;S;3;female;1
P2;18;13;S;3;female;1
P2;30;13;S;1;male;0
P3;10;24,15;S;3;child;0
P3;28;7,8958;C;1;male;0
P3;21;7,7333;Q;1;male;0
P3;29;7,875;S;1;male;0
P3;28;14,4;S;3;female;0
P3;18;20,2125;S;3;male;0
P3;28;7,25;S;1;male;0
P2;28;26;S;2;female;1
P2;19;26;S;1;female;1
P3;28;7,75;Q;1;male;0
P3;32;8,05;S;1;male;1
P1;28;26,55;S;1;male;1
P3;28;16,1;S;2;female;1
P2;42;26;S;2;female;1
P3;17;7,125;S;1;male;0
P1;50;55,9;S;2;male;0
P1;14;120;S;4;child;1
P3;21;34,375;S;5;female;0
P2;24;18,75;S;6;female;1
P1;64;263;S;6;male;0
P2;31;10,5;S;1;male;0
P2;45;26,25;S;3;female;1
P3;20;9,5;S;1;male;0
P3;25;7,775;S;2;male;0
P2;28;13;S;1;female;1
